,planning_area,Latitude,Longitude
0,ANG MO KIO,1.3769491464166668,103.84322286547615
1,BEDOK,1.3233326198185056,103.9260205772242
2,BISHAN,1.3544634292421054,103.8419179042105
3,BOON LAY,1.3170088986571429,103.7043497328571
4,BUKIT BATOK,1.354050450608695,103.75280097453421
5,BUKIT MERAH,1.2806942257709495,103.82031888547486
6,BUKIT PANJANG,1.3772668310970868,103.7673723330097
7,BUKIT TIMAH,1.3279155952385318,103.78495960825686
8,CENTRAL WATER CATCHMENT,1.3875060374761905,103.80589423333333
9,CHANGI,1.3693727422790696,103.9852771872093
10,CHOA CHU KANG,1.384844952836066,103.7464126344262
11,CLEMENTI,1.3150781712427178,103.76188027766986
12,DOWNTOWN CORE,1.2887693361999997,103.85351267466666
13,GEYLANG,1.3212585665128205,103.88985025320507
14,HOUGANG,1.3666024048118812,103.88830972326737
15,JURONG EAST,1.325927304503496,103.73810047202794
16,JURONG WEST,1.3403349057966805,103.70667023568467
17,KALLANG,1.3114360042068969,103.86523718189656
18,LIM CHU KANG,1.4329273907241382,103.71219363103445
19,MANDAI,1.4174770122999998,103.80128806
20,MARINA SOUTH,1.2792318783999999,103.8652056
21,MARINE PARADE,1.3038203659285712,103.90245868928574
22,MUSEUM,1.2962917431764707,103.84715952941177
23,NEWTON,1.31250575225,103.83767135
24,NOVENA,1.3250956836794872,103.84054500641028
25,ORCHARD,1.3036606578947367,103.8337217263158
26,OUTRAM,1.2820812005357143,103.8426357642857
27,PASIR RIS,1.372352940304094,103.95645995438599
28,PAYA LEBAR,1.3683337591944444,103.91715522499999
29,PIONEER,1.3162178080620155,103.67546525193804
30,PUNGGOL,1.4034903061505384,103.90540598602149
31,QUEENSTOWN,1.2953026265752217,103.78763122300889
32,RIVER VALLEY,1.2990805167333332,103.83225061999997
33,ROCHOR,1.3029920548275862,103.85453286896549
34,SELETAR,1.4099356358181816,103.8669220909091
35,SEMBAWANG,1.4532624805147063,103.81807499411764
36,SENGKANG,1.3903951005496693,103.89105623642384
37,SERANGOON,1.3625736807285713,103.86973619999995
38,SINGAPORE RIVER,1.2905233273888888,103.84138993888888
39,SOUTHERN ISLANDS,1.2536517335,103.82159404999999
40,STRAITS VIEW,1.2726183826666668,103.8618287
41,SUNGEI KADUT,1.4191439600898876,103.75547187752812
42,TAMPINES,1.3489222034874992,103.94843721499997
43,TANGLIN,1.3079732002826086,103.81922663695651
44,TENGAH,1.360129121173913,103.73442675652176
45,TOA PAYOH,1.3364108266904766,103.85836104603175
46,TUAS,1.3180516971787706,103.64166291508384
47,WESTERN WATER CATCHMENT,1.3716726556304346,103.69760857826087
48,WOODLANDS,1.4388327988592242,103.78851498252428
49,YISHUN,1.4229594547613624,103.83559019715908
50,invalid,1.4240395755000002,103.81657745000001
